基金代码,基金名称,重仓股代码,重仓股比例_x,重仓股比例_y,仓位变化,日期
000001.OF,华夏成长,300232.SZ,5.9989,6.0898,0.0909,2019/12/31
000001.OF,华夏成长,000338.SZ,0,3.6526,3.6526,2019/12/31
000001.OF,华夏成长,000661.SZ,0,3.2536,3.2536,2019/12/31
000001.OF,华夏成长,002475.SZ,0,2.4429,2.4429,2019/12/31
000001.OF,华夏成长,000961.SZ,0,2.3261,2.3261,2019/12/31
000001.OF,华夏成长,300782.SZ,0,2.307,2.307,2019/12/31
000001.OF,华夏成长,300226.SZ,0,4.2104,4.2104,2019/12/31
000001.OF,华夏成长,601668.SH,2.627,0,-2.627,2019/12/31
000001.OF,华夏成长,600048.SH,0,6.6107,6.6107,2019/12/31
000001.OF,华夏成长,600519.SH,2.8531,0,-2.8531,2019/12/31
000001.OF,华夏成长,002384.SZ,3.6901,5.0433,1.3532,2019/12/31
000001.OF,华夏成长,000858.SZ,4.2814,0,-4.2814,2019/12/31
000001.OF,华夏成长,300383.SZ,4.8575,0,-4.8575,2019/12/31
000001.OF,华夏成长,601318.SH,5.9065,0,-5.9065,2019/12/31
000001.OF,华夏成长,601186.SH,2.6942,0,-2.6942,2019/12/31
000001.OF,华夏成长,600867.SH,3.4565,0,-3.4565,2019/12/31
000001.OF,华夏成长,002127.SZ,3.0941,3.2584,0.1643,2019/12/31
000006.OF,西部利得量化成长,603369.SH,0.7229,0,-0.7229,2019/12/31
000006.OF,西部利得量化成长,600600.SH,0.874,0,-0.874,2019/12/31
000006.OF,西部利得量化成长,688008.SH,0.8434,0.8816,0.0382,2019/12/31
000006.OF,西部利得量化成长,600015.SH,0.8396,0,-0.8396,2019/12/31
000006.OF,西部利得量化成长,002926.SZ,0.7758,0,-0.7758,2019/12/31
000006.OF,西部利得量化成长,002353.SZ,0,0.8649,0.8649,2019/12/31
000006.OF,西部利得量化成长,002152.SZ,0,0.8554,0.8554,2019/12/31
000006.OF,西部利得量化成长,688012.SH,0,0.8383,0.8383,2019/12/31
000006.OF,西部利得量化成长,600466.SH,0.7654,0,-0.7654,2019/12/31
000006.OF,西部利得量化成长,300012.SZ,0,0.8316,0.8316,2019/12/31
000006.OF,西部利得量化成长,002236.SZ,0,0.8205,0.8205,2019/12/31
000006.OF,西部利得量化成长,601838.SH,0,0.791,0.791,2019/12/31
000006.OF,西部利得量化成长,300451.SZ,0,0.7739,0.7739,2019/12/31
000006.OF,西部利得量化成长,600031.SH,0.7238,0.771,0.0472,2019/12/31
000006.OF,西部利得量化成长,002555.SZ,0,0.7732,0.7732,2019/12/31
000006.OF,西部利得量化成长,002777.SZ,0.7257,0,-0.7257,2019/12/31
000006.OF,西部利得量化成长,600845.SH,0.7049,0,-0.7049,2019/12/31
000006.OF,西部利得量化成长,600373.SH,0.7187,0,-0.7187,2019/12/31
000011.OF,华夏大盘精选,600036.SH,4.0579,4.054,-0.0039,2019/12/31
000011.OF,华夏大盘精选,600309.SH,4.2109,4.3329,0.122,2019/12/31
000011.OF,华夏大盘精选,600029.SH,4.8675,5.6574,0.7899,2019/12/31
000011.OF,华夏大盘精选,600754.SH,5.2943,6.0655,0.7712,2019/12/31
000011.OF,华夏大盘精选,601100.SH,5.2956,5.3188,0.0232,2019/12/31
000011.OF,华夏大盘精选,600176.SH,5.3568,6.6429,1.2861,2019/12/31
000011.OF,华夏大盘精选,002419.SZ,5.9741,5.6125,-0.3616,2019/12/31
000011.OF,华夏大盘精选,600031.SH,6.4235,0,-6.4235,2019/12/31
000011.OF,华夏大盘精选,600690.SH,7.0688,8.3228,1.254,2019/12/31
000011.OF,华夏大盘精选,000338.SZ,0,6.1289,6.1289,2019/12/31
000011.OF,华夏大盘精选,603899.SH,4.6978,4.8913,0.1935,2019/12/31
000017.OF,财通可持续发展主题,300059.SZ,4.7602,0,-4.7602,2019/12/31
000017.OF,财通可持续发展主题,002410.SZ,3.9693,0,-3.9693,2019/12/31
000017.OF,财通可持续发展主题,002044.SZ,4.0157,3.5587,-0.457,2019/12/31
000017.OF,财通可持续发展主题,002241.SZ,4.0297,4.0285,-0.0012,2019/12/31
000017.OF,财通可持续发展主题,600036.SH,4.3864,3.996,-0.3904,2019/12/31
000017.OF,财通可持续发展主题,000661.SZ,4.4236,3.5088,-0.9148,2019/12/31
000017.OF,财通可持续发展主题,002507.SZ,0,3.6493,3.6493,2019/12/31
000017.OF,财通可持续发展主题,601318.SH,4.9264,4.3279,-0.5985,2019/12/31
000017.OF,财通可持续发展主题,600519.SH,5.5265,4.7892,-0.7373,2019/12/31
000017.OF,财通可持续发展主题,600276.SH,5.8817,5.3748,-0.5069,2019/12/31
000017.OF,财通可持续发展主题,600887.SH,3.9149,3.5778,-0.3371,2019/12/31
000017.OF,财通可持续发展主题,600009.SH,0,3.6616,3.6616,2019/12/31
000020.OF,景顺长城品质投资,002352.SZ,4.1731,2.3137,-1.8594,2019/12/31
000020.OF,景顺长城品质投资,600438.SH,0,3.1078,3.1078,2019/12/31
000020.OF,景顺长城品质投资,000063.SZ,4.6766,2.5701,-2.1065,2019/12/31
000020.OF,景顺长城品质投资,002007.SZ,4.4275,0,-4.4275,2019/12/31
000020.OF,景顺长城品质投资,000002.SZ,4.2538,5.0509,0.7971,2019/12/31
000020.OF,景顺长城品质投资,002727.SZ,3.3444,0,-3.3444,2019/12/31
000020.OF,景顺长城品质投资,300207.SZ,0,3.8589,3.8589,2019/12/31
000020.OF,景顺长城品质投资,002415.SZ,3.0337,0,-3.0337,2019/12/31
000020.OF,景顺长城品质投资,300413.SZ,3.1389,0,-3.1389,2019/12/31
000020.OF,景顺长城品质投资,002555.SZ,2.5986,3.3304,0.7318,2019/12/31
000020.OF,景顺长城品质投资,002841.SZ,2.551,0,-2.551,2019/12/31
000020.OF,景顺长城品质投资,603233.SH,0,2.4157,2.4157,2019/12/31
000020.OF,景顺长城品质投资,300014.SZ,0,2.4936,2.4936,2019/12/31
000020.OF,景顺长城品质投资,002311.SZ,0,2.7095,2.7095,2019/12/31
000020.OF,景顺长城品质投资,000568.SZ,0,3.0777,3.0777,2019/12/31
000020.OF,景顺长城品质投资,603160.SH,2.7352,0,-2.7352,2019/12/31
000021.OF,华夏优势增长,603799.SH,0,2.5514,2.5514,2019/12/31
000021.OF,华夏优势增长,000338.SZ,0,3.0747,3.0747,2019/12/31
000021.OF,华夏优势增长,300451.SZ,0,2.7003,2.7003,2019/12/31
000021.OF,华夏优势增长,300750.SZ,0,4.0458,4.0458,2019/12/31
000021.OF,华夏优势增长,600048.SH,0,3.8661,3.8661,2019/12/31
000021.OF,华夏优势增长,002832.SZ,2.0353,0,-2.0353,2019/12/31
000021.OF,华夏优势增长,002008.SZ,2.0085,0,-2.0085,2019/12/31
000021.OF,华夏优势增长,002371.SZ,2.1684,0,-2.1684,2019/12/31
000021.OF,华夏优势增长,603659.SH,2.1927,3.3751,1.1824,2019/12/31
000021.OF,华夏优势增长,600036.SH,2.6108,4.1257,1.5149,2019/12/31
000021.OF,华夏优势增长,002475.SZ,3.9917,5.252,1.2603,2019/12/31
000021.OF,华夏优势增长,600519.SH,3.4364,0,-3.4364,2019/12/31
000021.OF,华夏优势增长,601318.SH,3.4424,3.8689,0.4265,2019/12/31
000021.OF,华夏优势增长,300782.SZ,3.7702,4.0362,0.266,2019/12/31
000021.OF,华夏优势增长,002410.SZ,2.6736,0,-2.6736,2019/12/31
000031.OF,华夏复兴,300662.SZ,4.7777,5.0247,0.247,2019/12/31
000031.OF,华夏复兴,002475.SZ,8.2039,7.732,-0.4719,2019/12/31
000031.OF,华夏复兴,600867.SH,6.048,0,-6.048,2019/12/31
000031.OF,华夏复兴,002410.SZ,5.4785,0,-5.4785,2019/12/31
000031.OF,华夏复兴,300207.SZ,5.2637,5.1755,-0.0882,2019/12/31
000031.OF,华夏复兴,002384.SZ,5.0404,6.0184,0.978,2019/12/31
000031.OF,华夏复兴,300782.SZ,4.9102,4.8051,-0.1051,2019/12/31
000031.OF,华夏复兴,300450.SZ,4.0463,4.3575,0.3112,2019/12/31
000031.OF,华夏复兴,600132.SH,4.1192,0,-4.1192,2019/12/31
000031.OF,华夏复兴,603186.SH,3.9945,0,-3.9945,2019/12/31
000031.OF,华夏复兴,002850.SZ,0,4.1483,4.1483,2019/12/31
000031.OF,华夏复兴,603799.SH,0,4.9661,4.9661,2019/12/31
000031.OF,华夏复兴,603489.SH,0,5.906,5.906,2019/12/31
000031.OF,华夏复兴,300136.SZ,0,5.9938,5.9938,2019/12/31
000039.OF,农银汇理低估值高增长,002555.SZ,3.3751,6.9782,3.6031,2019/12/31
000039.OF,农银汇理低估值高增长,300383.SZ,2.7281,0,-2.7281,2019/12/31
000039.OF,农银汇理低估值高增长,600845.SH,3.2667,3.1967,-0.07,2019/12/31
000039.OF,农银汇理低估值高增长,300347.SZ,3.1413,0,-3.1413,2019/12/31
000039.OF,农银汇理低估值高增长,600519.SH,3.0502,3.3015,0.2513,2019/12/31
000039.OF,农银汇理低估值高增长,002475.SZ,3.0227,4.4973,1.4746,2019/12/31
000039.OF,农银汇理低估值高增长,002241.SZ,0,3.012,3.012,2019/12/31
000039.OF,农银汇理低估值高增长,000858.SZ,2.7093,3.6935,0.9842,2019/12/31
000039.OF,农银汇理低估值高增长,300792.SZ,0,5.1376,5.1376,2019/12/31
000039.OF,农银汇理低估值高增长,002624.SZ,0,4.2893,4.2893,2019/12/31
000039.OF,农银汇理低估值高增长,002602.SZ,0,3.7252,3.7252,2019/12/31
000039.OF,农银汇理低估值高增长,603605.SH,0,3.3223,3.3223,2019/12/31
000039.OF,农银汇理低估值高增长,300015.SZ,2.8019,0,-2.8019,2019/12/31
000039.OF,农银汇理低估值高增长,000977.SZ,2.7317,0,-2.7317,2019/12/31
000039.OF,农银汇理低估值高增长,601166.SH,2.6119,0,-2.6119,2019/12/31
000061.OF,华夏盛世精选,688300.SH,0,2.3406,2.3406,2019/12/31
000061.OF,华夏盛世精选,002131.SZ,0,3.9105,3.9105,2019/12/31
000061.OF,华夏盛世精选,300731.SZ,0,2.1517,2.1517,2019/12/31
000061.OF,华夏盛世精选,300136.SZ,0,2.0566,2.0566,2019/12/31
000061.OF,华夏盛世精选,002460.SZ,0,2.0425,2.0425,2019/12/31
000061.OF,华夏盛世精选,300438.SZ,0,3.8744,3.8744,2019/12/31
000061.OF,华夏盛世精选,300212.SZ,2.293,2.7149,0.4219,2019/12/31
000061.OF,华夏盛世精选,603200.SH,2.4997,0,-2.4997,2019/12/31
000061.OF,华夏盛世精选,300001.SZ,2.2605,0,-2.2605,2019/12/31
000061.OF,华夏盛世精选,300339.SZ,2.762,0,-2.762,2019/12/31
000061.OF,华夏盛世精选,300709.SZ,2.8175,0,-2.8175,2019/12/31
000061.OF,华夏盛世精选,603799.SH,3.2987,4.0137,0.715,2019/12/31
000061.OF,华夏盛世精选,601318.SH,3.3795,0,-3.3795,2019/12/31
000061.OF,华夏盛世精选,300618.SZ,3.4507,0,-3.4507,2019/12/31
000061.OF,华夏盛世精选,300571.SZ,4.5403,4.0107,-0.5296,2019/12/31
000061.OF,华夏盛世精选,002388.SZ,2.5965,0,-2.5965,2019/12/31
000061.OF,华夏盛世精选,002123.SZ,0,2.7089,2.7089,2019/12/31
000066.OF,诺安鸿鑫,600016.SH,2.3931,1.6508,-0.7423,2019/12/31
000066.OF,诺安鸿鑫,601328.SH,2.3982,1.6304,-0.7678,2019/12/31
000066.OF,诺安鸿鑫,688111.SH,0,1.5334,1.5334,2019/12/31
000066.OF,诺安鸿鑫,600887.SH,0,1.9802,1.9802,2019/12/31
000066.OF,诺安鸿鑫,601939.SH,2.7093,0,-2.7093,2019/12/31
000066.OF,诺安鸿鑫,600030.SH,3.7295,2.0987,-1.6308,2019/12/31
000066.OF,诺安鸿鑫,601601.SH,8.3876,0,-8.3876,2019/12/31
000066.OF,诺安鸿鑫,600036.SH,5.7779,5.4186,-0.3593,2019/12/31
000066.OF,诺安鸿鑫,601318.SH,9.4541,9.7578,0.3037,2019/12/31
000066.OF,诺安鸿鑫,601166.SH,4.0832,3.0353,-1.0479,2019/12/31
000066.OF,诺安鸿鑫,600276.SH,4.0221,2.8541,-1.168,2019/12/31
000066.OF,诺安鸿鑫,600519.SH,5.1246,6.2534,1.1288,2019/12/31
000083.OF,汇添富消费行业,001914.SZ,3.3423,3.9177,0.5754,2019/12/31
000083.OF,汇添富消费行业,601318.SH,3.025,0,-3.025,2019/12/31
000083.OF,汇添富消费行业,002311.SZ,2.9286,0,-2.9286,2019/12/31
000083.OF,汇添富消费行业,000860.SZ,5.0896,5.4038,0.3142,2019/12/31
000083.OF,汇添富消费行业,000661.SZ,5.7985,5.1247,-0.6738,2019/12/31
000083.OF,汇添富消费行业,600009.SH,6.1852,4.7518,-1.4334,2019/12/31
000083.OF,汇添富消费行业,000858.SZ,9.3691,8.5074,-0.8617,2019/12/31
000083.OF,汇添富消费行业,000568.SZ,4.5565,4.3935,-0.163,2019/12/31
000083.OF,汇添富消费行业,002475.SZ,0,3.9643,3.9643,2019/12/31
000083.OF,汇添富消费行业,000333.SZ,0,4.2178,4.2178,2019/12/31
000083.OF,汇添富消费行业,600519.SH,9.916,9.5658,-0.3502,2019/12/31
000083.OF,汇添富消费行业,000651.SZ,4.9784,3.7988,-1.1796,2019/12/31
000117.OF,广发轮动配置,600887.SH,2.9339,3.1878,0.2539,2019/12/31
000117.OF,广发轮动配置,000333.SZ,0,2.7017,2.7017,2019/12/31
000117.OF,广发轮动配置,600036.SH,2.7403,3.5651,0.8248,2019/12/31
000117.OF,广发轮动配置,000661.SZ,5.9257,3.7386,-2.1871,2019/12/31
000117.OF,广发轮动配置,601318.SH,5.6011,4.462,-1.1391,2019/12/31
000117.OF,广发轮动配置,600519.SH,4.7553,5.7674,1.0121,2019/12/31
000117.OF,广发轮动配置,600763.SH,4.6824,0,-4.6824,2019/12/31
000117.OF,广发轮动配置,000858.SZ,4.4907,4.9764,0.4857,2019/12/31
000117.OF,广发轮动配置,002142.SZ,2.7288,3.2527,0.5239,2019/12/31
000117.OF,广发轮动配置,603589.SH,3.6234,3.775,0.1516,2019/12/31
000117.OF,广发轮动配置,300357.SZ,7.333,4.8514,-2.4816,2019/12/31
000120.OF,中银美丽中国,000425.SZ,0,4.8783,4.8783,2019/12/31
000120.OF,中银美丽中国,600031.SH,0,5.8697,5.8697,2019/12/31
000120.OF,中银美丽中国,600585.SH,0,6.4424,6.4424,2019/12/31
000120.OF,中银美丽中国,000895.SZ,3.1714,0,-3.1714,2019/12/31
000120.OF,中银美丽中国,601939.SH,3.1107,0,-3.1107,2019/12/31
000120.OF,中银美丽中国,601933.SH,2.7392,0,-2.7392,2019/12/31
000120.OF,中银美丽中国,603338.SH,2.8319,0,-2.8319,2019/12/31
000120.OF,中银美丽中国,600984.SH,0,4.6504,4.6504,2019/12/31
000120.OF,中银美丽中国,600201.SH,2.7218,0,-2.7218,2019/12/31
000120.OF,中银美丽中国,603899.SH,2.6788,0,-2.6788,2019/12/31
000120.OF,中银美丽中国,600104.SH,2.9792,0,-2.9792,2019/12/31
000120.OF,中银美丽中国,002600.SZ,0,3.0453,3.0453,2019/12/31
000120.OF,中银美丽中国,601100.SH,0,3.1426,3.1426,2019/12/31
000120.OF,中银美丽中国,601166.SH,3.875,0,-3.875,2019/12/31
000120.OF,中银美丽中国,603259.SH,0,2.9503,2.9503,2019/12/31
000120.OF,中银美丽中国,603986.SH,0,2.8917,2.8917,2019/12/31
000120.OF,中银美丽中国,000725.SZ,0,2.8526,2.8526,2019/12/31
000120.OF,中银美丽中国,603566.SH,3.2483,0,-3.2483,2019/12/31
000120.OF,中银美丽中国,601818.SH,0,3.0293,3.0293,2019/12/31
000120.OF,中银美丽中国,601318.SH,4.8053,0,-4.8053,2019/12/31
000124.OF,华宝服务优选,601318.SH,4.8351,0,-4.8351,2019/12/31
000124.OF,华宝服务优选,300347.SZ,4.1566,0,-4.1566,2019/12/31
000124.OF,华宝服务优选,300770.SZ,4.1303,3.1253,-1.005,2019/12/31
000124.OF,华宝服务优选,600529.SH,3.885,7.4805,3.5955,2019/12/31
000124.OF,华宝服务优选,603882.SH,3.1756,4.3009,1.1253,2019/12/31
000124.OF,华宝服务优选,002384.SZ,3.164,0,-3.164,2019/12/31
000124.OF,华宝服务优选,601012.SH,3.1567,0,-3.1567,2019/12/31
000124.OF,华宝服务优选,601888.SH,5.1263,4.5853,-0.541,2019/12/31
000124.OF,华宝服务优选,600690.SH,0,3.0699,3.0699,2019/12/31
000124.OF,华宝服务优选,002739.SZ,0,3.5877,3.5877,2019/12/31
000124.OF,华宝服务优选,000001.SZ,0,3.9656,3.9656,2019/12/31
000124.OF,华宝服务优选,002174.SZ,0,5.013,5.013,2019/12/31
000124.OF,华宝服务优选,002912.SZ,0,5.9498,5.9498,2019/12/31
000124.OF,华宝服务优选,002555.SZ,0,7.8459,7.8459,2019/12/31
000124.OF,华宝服务优选,002938.SZ,3.1017,0,-3.1017,2019/12/31
000124.OF,华宝服务优选,600763.SH,8.3509,0,-8.3509,2019/12/31
000127.OF,农银汇理行业领先,600519.SH,4.9898,5.0663,0.0765,2019/12/31
000127.OF,农银汇理行业领先,002607.SZ,8.1318,0,-8.1318,2019/12/31
000127.OF,农银汇理行业领先,600438.SH,8.0366,6.9436,-1.093,2019/12/31
000127.OF,农银汇理行业领先,601166.SH,5.445,5.9833,0.5383,2019/12/31
000127.OF,农银汇理行业领先,002475.SZ,5.172,6.0186,0.8466,2019/12/31
000127.OF,农银汇理行业领先,600036.SH,4.966,0,-4.966,2019/12/31
000127.OF,农银汇理行业领先,600570.SH,4.5248,4.966,0.4412,2019/12/31
000127.OF,农银汇理行业领先,603605.SH,0,3.9844,3.9844,2019/12/31
000127.OF,农银汇理行业领先,300759.SZ,0,3.8339,3.8339,2019/12/31
000127.OF,农银汇理行业领先,600031.SH,0,3.5608,3.5608,2019/12/31
000127.OF,农银汇理行业领先,000858.SZ,3.9538,0,-3.9538,2019/12/31
000127.OF,农银汇理行业领先,601012.SH,8.2197,6.8855,-1.3342,2019/12/31
000127.OF,农银汇理行业领先,002410.SZ,4.1183,4.0292,-0.0891,2019/12/31
000172.OF,华泰柏瑞量化增强A,603368.SH,1.6939,0,-1.6939,2019/12/31
000172.OF,华泰柏瑞量化增强A,601997.SH,0,2.0812,2.0812,2019/12/31
000172.OF,华泰柏瑞量化增强A,601318.SH,7.3621,4.9753,-2.3868,2019/12/31
000172.OF,华泰柏瑞量化增强A,600519.SH,4.5013,2.9142,-1.5871,2019/12/31
000172.OF,华泰柏瑞量化增强A,601818.SH,2.9198,2.643,-0.2768,2019/12/31
000172.OF,华泰柏瑞量化增强A,603160.SH,2.4593,0,-2.4593,2019/12/31
000172.OF,华泰柏瑞量化增强A,601336.SH,2.4575,0,-2.4575,2019/12/31
000172.OF,华泰柏瑞量化增强A,600036.SH,2.2986,0,-2.2986,2019/12/31
000172.OF,华泰柏瑞量化增强A,000425.SZ,2.2527,2.3992,0.1465,2019/12/31
000172.OF,华泰柏瑞量化增强A,601012.SH,2.1493,0,-2.1493,2019/12/31
000172.OF,华泰柏瑞量化增强A,600999.SH,1.7297,0,-1.7297,2019/12/31
000172.OF,华泰柏瑞量化增强A,600016.SH,0,1.6492,1.6492,2019/12/31
000172.OF,华泰柏瑞量化增强A,600276.SH,0,1.7301,1.7301,2019/12/31
000172.OF,华泰柏瑞量化增强A,300628.SZ,0,1.7393,1.7393,2019/12/31
000172.OF,华泰柏瑞量化增强A,601998.SH,0,2.0507,2.0507,2019/12/31
000172.OF,华泰柏瑞量化增强A,601881.SH,0,2.1925,2.1925,2019/12/31
000199.OF,国泰量化策略收益,600519.SH,0,2.3395,2.3395,2019/12/31
000199.OF,国泰量化策略收益,600837.SH,0,2.8562,2.8562,2019/12/31
000199.OF,国泰量化策略收益,600030.SH,0,3.4619,3.4619,2019/12/31
000199.OF,国泰量化策略收益,600276.SH,0,3.8223,3.8223,2019/12/31
000199.OF,国泰量化策略收益,603986.SH,0,2.322,2.322,2019/12/31
000199.OF,国泰量化策略收益,601818.SH,0,2.3483,2.3483,2019/12/31
000199.OF,国泰量化策略收益,600009.SH,2.2195,0,-2.2195,2019/12/31
000199.OF,国泰量化策略收益,601318.SH,7.3357,5.0116,-2.3241,2019/12/31
000199.OF,国泰量化策略收益,601166.SH,3.3206,3.7996,0.479,2019/12/31
000199.OF,国泰量化策略收益,000858.SZ,3.2659,0,-3.2659,2019/12/31
000199.OF,国泰量化策略收益,000333.SZ,3.1673,3.8102,0.6429,2019/12/31
000199.OF,国泰量化策略收益,600887.SH,2.8879,0,-2.8879,2019/12/31
000199.OF,国泰量化策略收益,603288.SH,0,2.3743,2.3743,2019/12/31
000199.OF,国泰量化策略收益,600000.SH,2.7199,0,-2.7199,2019/12/31
000199.OF,国泰量化策略收益,600999.SH,2.1335,0,-2.1335,2019/12/31
000199.OF,国泰量化策略收益,002475.SZ,2.4743,0,-2.4743,2019/12/31
000199.OF,国泰量化策略收益,600919.SH,2.1125,0,-2.1125,2019/12/31
000209.OF,信诚新兴产业,300059.SZ,4.8726,0,-4.8726,2019/12/31
000209.OF,信诚新兴产业,002415.SZ,4.4369,4.1191,-0.3178,2019/12/31
000209.OF,信诚新兴产业,002410.SZ,2.5658,0,-2.5658,2019/12/31
000209.OF,信诚新兴产业,000063.SZ,2.6614,2.6949,0.0335,2019/12/31
000209.OF,信诚新兴产业,300590.SZ,2.3945,0,-2.3945,2019/12/31
000209.OF,信诚新兴产业,300413.SZ,2.1173,0,-2.1173,2019/12/31
000209.OF,信诚新兴产业,600588.SH,1.9653,0,-1.9653,2019/12/31
000209.OF,信诚新兴产业,300122.SZ,3.0874,2.9595,-0.1279,2019/12/31
000209.OF,信诚新兴产业,002624.SZ,2.2429,0,-2.2429,2019/12/31
000209.OF,信诚新兴产业,300003.SZ,2.8988,3.5047,0.6059,2019/12/31
000209.OF,信诚新兴产业,600406.SH,0,2.5245,2.5245,2019/12/31
000209.OF,信诚新兴产业,603218.SH,0,2.4756,2.4756,2019/12/31
000209.OF,信诚新兴产业,300316.SZ,0,2.2172,2.2172,2019/12/31
000209.OF,信诚新兴产业,600583.SH,0,2.1258,2.1258,2019/12/31
000209.OF,信诚新兴产业,300136.SZ,0,2.1035,2.1035,2019/12/31
000209.OF,信诚新兴产业,600546.SH,0,2.7639,2.7639,2019/12/31
000220.OF,富国医疗保健行业,603127.SH,5.1317,0,-5.1317,2019/12/31
000220.OF,富国医疗保健行业,300015.SZ,5.4846,5.4115,-0.0731,2019/12/31
000220.OF,富国医疗保健行业,300573.SZ,6.3594,4.2828,-2.0766,2019/12/31
000220.OF,富国医疗保健行业,300759.SZ,6.7369,0,-6.7369,2019/12/31
000220.OF,富国医疗保健行业,600436.SH,7.1666,0,-7.1666,2019/12/31
000220.OF,富国医疗保健行业,000661.SZ,7.4554,7.6065,0.1511,2019/12/31
000220.OF,富国医疗保健行业,300601.SZ,7.4649,6.6281,-0.8368,2019/12/31
000220.OF,富国医疗保健行业,600276.SH,7.2257,6.9299,-0.2958,2019/12/31
000220.OF,富国医疗保健行业,603259.SH,7.7757,7.5534,-0.2223,2019/12/31
000220.OF,富国医疗保健行业,002821.SZ,0,4.5005,4.5005,2019/12/31
000220.OF,富国医疗保健行业,603658.SH,0,4.5862,4.5862,2019/12/31
000220.OF,富国医疗保健行业,300760.SZ,0,8.0992,8.0992,2019/12/31
000220.OF,富国医疗保健行业,603882.SH,7.6339,5.6803,-1.9536,2019/12/31
000251.OF,工银瑞信金融地产A,000069.SZ,3.502,5.1901,1.6881,2019/12/31
000251.OF,工银瑞信金融地产A,601601.SH,3.9431,3.0361,-0.907,2019/12/31
000251.OF,工银瑞信金融地产A,601128.SH,0,4.0435,4.0435,2019/12/31
000251.OF,工银瑞信金融地产A,600030.SH,4.2763,6.6225,2.3462,2019/12/31
000251.OF,工银瑞信金融地产A,000001.SZ,5.7773,4.2123,-1.565,2019/12/31
000251.OF,工银瑞信金融地产A,600036.SH,9.8727,9.6231,-0.2496,2019/12/31
000251.OF,工银瑞信金融地产A,601318.SH,9.8915,7.2945,-2.597,2019/12/31
000251.OF,工银瑞信金融地产A,600048.SH,3.1132,0,-3.1132,2019/12/31
000251.OF,工银瑞信金融地产A,000002.SZ,2.859,2.9048,0.0458,2019/12/31
000251.OF,工银瑞信金融地产A,601688.SH,0,6.2409,6.2409,2019/12/31
000251.OF,工银瑞信金融地产A,002142.SZ,9.8404,8.5966,-1.2438,2019/12/31
000251.OF,工银瑞信金融地产A,601939.SH,3.0886,0,-3.0886,2019/12/31
000263.OF,工银瑞信信息产业,000636.SZ,3.1515,0,-3.1515,2019/12/31
000263.OF,工银瑞信信息产业,002410.SZ,4.9795,4.8867,-0.0928,2019/12/31
000263.OF,工银瑞信信息产业,002475.SZ,4.5995,4.9975,0.398,2019/12/31
000263.OF,工银瑞信信息产业,600741.SH,2.6203,3.8039,1.1836,2019/12/31
000263.OF,工银瑞信信息产业,002415.SZ,4.0986,2.8284,-1.2702,2019/12/31
000263.OF,工银瑞信信息产业,600183.SH,3.9214,3.9885,0.0671,2019/12/31
000263.OF,工银瑞信信息产业,002938.SZ,3.8981,3.2148,-0.6833,2019/12/31
000263.OF,工银瑞信信息产业,600519.SH,3.8436,0,-3.8436,2019/12/31
000263.OF,工银瑞信信息产业,600563.SH,2.6959,0,-2.6959,2019/12/31
000263.OF,工银瑞信信息产业,300450.SZ,0,2.8694,2.8694,2019/12/31
000263.OF,工银瑞信信息产业,002027.SZ,0,2.9121,2.9121,2019/12/31
000263.OF,工银瑞信信息产业,000651.SZ,0,2.9861,2.9861,2019/12/31
000263.OF,工银瑞信信息产业,300012.SZ,4.1108,3.5752,-0.5356,2019/12/31
000308.OF,建信创新中国,000002.SZ,0,6.1775,6.1775,2019/12/31
000308.OF,建信创新中国,002624.SZ,0,7.4853,7.4853,2019/12/31
000308.OF,建信创新中国,603218.SH,0,4.0073,4.0073,2019/12/31
000308.OF,建信创新中国,300628.SZ,0,3.5948,3.5948,2019/12/31
000308.OF,建信创新中国,000063.SZ,0,3.3724,3.3724,2019/12/31
000308.OF,建信创新中国,603517.SH,0,3.3392,3.3392,2019/12/31
000308.OF,建信创新中国,002123.SZ,0,4.9315,4.9315,2019/12/31
000308.OF,建信创新中国,300059.SZ,0,4.1771,4.1771,2019/12/31
000308.OF,建信创新中国,600048.SH,8.5652,0,-8.5652,2019/12/31
000308.OF,建信创新中国,600498.SH,6.5109,0,-6.5109,2019/12/31
000308.OF,建信创新中国,600519.SH,6.3762,0,-6.3762,2019/12/31
000308.OF,建信创新中国,002583.SZ,2.9836,0,-2.9836,2019/12/31
000308.OF,建信创新中国,002475.SZ,5.3624,4.1866,-1.1758,2019/12/31
000308.OF,建信创新中国,300271.SZ,3.885,0,-3.885,2019/12/31
000308.OF,建信创新中国,601058.SH,3.5593,0,-3.5593,2019/12/31
000308.OF,建信创新中国,603063.SH,3.5212,0,-3.5212,2019/12/31
000308.OF,建信创新中国,002127.SZ,3.0612,4.0864,1.0252,2019/12/31
000308.OF,建信创新中国,600660.SH,2.8457,0,-2.8457,2019/12/31
000309.OF,大摩品质生活精选,002376.SZ,9.0271,8.9977,-0.0294,2019/12/31
000309.OF,大摩品质生活精选,600383.SH,0,7.5113,7.5113,2019/12/31
000309.OF,大摩品质生活精选,601211.SH,0,6.1874,6.1874,2019/12/31
000309.OF,大摩品质生活精选,600048.SH,0,4.6053,4.6053,2019/12/31
000309.OF,大摩品质生活精选,000568.SZ,4.9132,0,-4.9132,2019/12/31
000309.OF,大摩品质生活精选,002609.SZ,5.115,7.9855,2.8705,2019/12/31
000309.OF,大摩品质生活精选,300750.SZ,5.5301,0,-5.5301,2019/12/31
