stock,start_date,end_date,yield,volatility,idiosyncratic_volatility
002304.SZ,2019/9/30,2019/12/31,25.295,20.5509,0.0120
002304.SZ,2019/12/31,2020/3/31,-69.2811,38.9804,0.0159
002304.SZ,2020/3/31,2020/6/30,200.5092,33.8552,0.0199
002304.SZ,2020/6/30,2020/9/30,95.0498,46.5196,0.0244
002311.SZ,2019/9/30,2019/12/31,52.5546,27.6639,0.0162
002311.SZ,2019/12/31,2020/3/31,57.9323,42.1308,0.0225
002311.SZ,2020/3/31,2020/6/30,190.5622,46.6392,0.0288
002311.SZ,2020/6/30,2020/9/30,174.259,43.3033,0.0252
002315.SZ,2019/9/30,2019/12/31,20.1253,39.9904,0.0229
002315.SZ,2019/12/31,2020/3/31,20.1388,75.3559,0.0365
002315.SZ,2020/3/31,2020/6/30,-18.9134,41.6346,0.0225
002315.SZ,2020/6/30,2020/9/30,184.7831,75.7157,0.0432
002317.SZ,2019/9/30,2019/12/31,127.3154,35.179,0.0210
002317.SZ,2019/12/31,2020/3/31,-7.8226,64.6779,0.0395
002317.SZ,2020/3/31,2020/6/30,337.0078,55.9583,0.0344
002317.SZ,2020/6/30,2020/9/30,-40.2314,51.1665,0.0279
002318.SZ,2019/9/30,2019/12/31,120.4655,42.3843,0.0259
002318.SZ,2019/12/31,2020/3/31,-64.9481,50.3879,0.0193
002318.SZ,2020/3/31,2020/6/30,6.7391,22.1841,0.0109
002318.SZ,2020/6/30,2020/9/30,89.2086,38.9328,0.0190
002322.SZ,2019/9/30,2019/12/31,-33.6697,22.6409,0.0105
002322.SZ,2019/12/31,2020/3/31,-10.9967,56.2203,0.0263
002322.SZ,2020/3/31,2020/6/30,22.3035,29.7832,0.0165
002322.SZ,2020/6/30,2020/9/30,94.712,46.3629,0.0255
002324.SZ,2019/9/30,2019/12/31,67.9903,20.6526,0.0127
002324.SZ,2019/12/31,2020/3/31,262.0873,69.598,0.0390
002324.SZ,2020/3/31,2020/6/30,280.0098,42.9933,0.0272
002324.SZ,2020/6/30,2020/9/30,-2.2793,47.5586,0.0294
002326.SZ,2019/9/30,2019/12/31,48.1841,43.0765,0.0245
002326.SZ,2019/12/31,2020/3/31,70.4095,81.6158,0.0514
002326.SZ,2020/3/31,2020/6/30,43.0786,53.4203,0.0276
002326.SZ,2020/6/30,2020/9/30,-39.9361,43.0585,0.0195
002327.SZ,2019/9/30,2019/12/31,20.9671,14.2314,0.0077
002327.SZ,2019/12/31,2020/3/31,-5.3808,33.0129,0.0115
002327.SZ,2020/3/31,2020/6/30,62.3371,24.0833,0.0140
002327.SZ,2020/6/30,2020/9/30,37.2973,36.9122,0.0201
002332.SZ,2019/9/30,2019/12/31,221.1773,55.0934,0.0345
002332.SZ,2019/12/31,2020/3/31,386.5497,53.1588,0.0305
002332.SZ,2020/3/31,2020/6/30,146.6035,54.1859,0.0329
002332.SZ,2020/6/30,2020/9/30,-23.1344,46.2001,0.0254
002338.SZ,2019/9/30,2019/12/31,-24.2389,36.0053,0.0216
002338.SZ,2019/12/31,2020/3/31,6.89,62.7023,0.0335
002338.SZ,2020/3/31,2020/6/30,2090.47,73.6501,0.0468
002338.SZ,2020/6/30,2020/9/30,-31.2383,70.9376,0.0404
002340.SZ,2019/9/30,2019/12/31,35.0849,26.8789,0.0152
002340.SZ,2019/12/31,2020/3/31,-19.2039,59.2061,0.0289
002340.SZ,2020/3/31,2020/6/30,36.8666,31.3366,0.0153
002340.SZ,2020/6/30,2020/9/30,-6.8191,44.58,0.0212
002343.SZ,2019/9/30,2019/12/31,424.1676,63.9589,0.0390
002343.SZ,2019/12/31,2020/3/31,-77.036,67.2029,0.0314
002343.SZ,2020/3/31,2020/6/30,22.9557,54.1164,0.0298
002343.SZ,2020/6/30,2020/9/30,-15.3334,39.5416,0.0182
002351.SZ,2019/9/30,2019/12/31,9738.58,95.8282,0.0598
002351.SZ,2019/12/31,2020/3/31,-80.7363,80.4673,0.0413
002351.SZ,2020/3/31,2020/6/30,1954.11,71,0.0410
002351.SZ,2020/6/30,2020/9/30,-60.9793,47.712,0.0233
002352.SZ,2019/9/30,2019/12/31,-19.2065,28.7748,0.0171
002352.SZ,2019/12/31,2020/3/31,160.0884,44.1871,0.0262
002352.SZ,2020/3/31,2020/6/30,89.3352,27.0228,0.0161
002352.SZ,2020/6/30,2020/9/30,336.6985,44.9058,0.0272
002353.SZ,2019/9/30,2019/12/31,199.7981,38.6676,0.0226
002353.SZ,2019/12/31,2020/3/31,-88.7154,60.2763,0.0293
002353.SZ,2020/3/31,2020/6/30,354.0851,55.6233,0.0311
002353.SZ,2020/6/30,2020/9/30,-5.8774,49.0663,0.0232
002362.SZ,2019/9/30,2019/12/31,-19.4388,35.1033,0.0198
002362.SZ,2019/12/31,2020/3/31,4.8483,57.1254,0.0243
002362.SZ,2020/3/31,2020/6/30,40.2404,34.2499,0.0160
002362.SZ,2020/6/30,2020/9/30,127.9411,54.5992,0.0298
002364.SZ,2019/9/30,2019/12/31,-24.3731,32.6418,0.0198
002364.SZ,2019/12/31,2020/3/31,41.2517,73.3349,0.0410
002364.SZ,2020/3/31,2020/6/30,23.9656,41.1509,0.0206
002364.SZ,2020/6/30,2020/9/30,-64.0538,46.2265,0.0276
002367.SZ,2019/9/30,2019/12/31,21.1879,30.9667,0.0181
002367.SZ,2019/12/31,2020/3/31,29.2895,52.7462,0.0271
002367.SZ,2020/3/31,2020/6/30,33.7244,47.3353,0.0278
002367.SZ,2020/6/30,2020/9/30,152.6991,48.1049,0.0241
002368.SZ,2019/9/30,2019/12/31,167.9513,44.0156,0.0272
002368.SZ,2019/12/31,2020/3/31,-26.1483,67.1778,0.0314
002368.SZ,2020/3/31,2020/6/30,93.2584,34.9405,0.0173
002368.SZ,2020/6/30,2020/9/30,-21.9124,42.4997,0.0209
002371.SZ,2019/9/30,2019/12/31,166.6502,49.7126,0.0311
002371.SZ,2019/12/31,2020/3/31,216.5271,83.7704,0.0460
002371.SZ,2020/3/31,2020/6/30,384.0116,60.6089,0.0314
002371.SZ,2020/6/30,2020/9/30,-15.1888,66.7149,0.0304
002372.SZ,2019/9/30,2019/12/31,-54.382,38.5298,0.0229
002372.SZ,2019/12/31,2020/3/31,-47.2141,42.3291,0.0151
002372.SZ,2020/3/31,2020/6/30,42.9439,25.9507,0.0144
002372.SZ,2020/6/30,2020/9/30,229.0957,39.6491,0.0214
002373.SZ,2019/9/30,2019/12/31,8.9636,31.0099,0.0176
002373.SZ,2019/12/31,2020/3/31,59.5624,66.3107,0.0337
002373.SZ,2020/3/31,2020/6/30,87.8985,33.7731,0.0178
002373.SZ,2020/6/30,2020/9/30,-21.5545,40.1241,0.0163
002375.SZ,2019/9/30,2019/12/31,33.3945,22.002,0.0120
002375.SZ,2019/12/31,2020/3/31,114.1609,54.3229,0.0271
002375.SZ,2020/3/31,2020/6/30,375.4062,56.7295,0.0324
002375.SZ,2020/6/30,2020/9/30,-10.8007,61.6971,0.0328
002376.SZ,2019/9/30,2019/12/31,-19.5321,27.1848,0.0143
002376.SZ,2019/12/31,2020/3/31,-34.0013,47.5721,0.0210
002376.SZ,2020/3/31,2020/6/30,-20.2737,26.1422,0.0127
002376.SZ,2020/6/30,2020/9/30,-4.7143,26.8909,0.0107
002379.SZ,2019/9/30,2019/12/31,-36.6293,28.6811,0.0153
002379.SZ,2019/12/31,2020/3/31,-23.3309,49.4339,0.0241
002379.SZ,2020/3/31,2020/6/30,-65.8212,26.7031,0.0132
002379.SZ,2020/6/30,2020/9/30,48.3748,48.1057,0.0263
002380.SZ,2019/9/30,2019/12/31,-25.7238,22.4539,0.0100
002380.SZ,2019/12/31,2020/3/31,30.7607,49.0422,0.0188
002380.SZ,2020/3/31,2020/6/30,-14.5229,28.0348,0.0135
002380.SZ,2020/6/30,2020/9/30,12.0304,34.8172,0.0161
002381.SZ,2019/9/30,2019/12/31,65.963,27.4594,0.0164
002381.SZ,2019/12/31,2020/3/31,-38.2095,42.1295,0.0146
002381.SZ,2020/3/31,2020/6/30,180.6818,29.299,0.0169
002381.SZ,2020/6/30,2020/9/30,8.7764,39.2135,0.0194
002382.SZ,2019/9/30,2019/12/31,-20.979,29.0952,0.0172
002382.SZ,2019/12/31,2020/3/31,251.8876,76.4257,0.0478
002382.SZ,2020/3/31,2020/6/30,1033.05,58.706,0.0374
002382.SZ,2020/6/30,2020/9/30,-52.6386,63.973,0.0383
002384.SZ,2019/9/30,2019/12/31,73.2639,42.8032,0.0239
002384.SZ,2019/12/31,2020/3/31,-30.1327,80.79,0.0369
002384.SZ,2020/3/31,2020/6/30,353.1545,53.7985,0.0265
002384.SZ,2020/6/30,2020/9/30,-26.7983,46.4455,0.0237
002385.SZ,2019/9/30,2019/12/31,55.3214,45.2638,0.0279
002385.SZ,2019/12/31,2020/3/31,1449.99,92.3896,0.0506
002385.SZ,2020/3/31,2020/6/30,100.9204,59.3753,0.0364
002385.SZ,2020/6/30,2020/9/30,1.6854,47.3682,0.0260
002387.SZ,2019/9/30,2019/12/31,-23.096,26.8611,0.0164
002387.SZ,2019/12/31,2020/3/31,-78.9841,45.1915,0.0204
002387.SZ,2020/3/31,2020/6/30,151.0025,40.2513,0.0243
002387.SZ,2020/6/30,2020/9/30,65.1427,46.5257,0.0246
002388.SZ,2019/9/30,2019/12/31,-39.0304,36.4475,0.0199
002388.SZ,2019/12/31,2020/3/31,-52.4442,53.8229,0.0224
002388.SZ,2020/3/31,2020/6/30,209.0038,44.8177,0.0274
002388.SZ,2020/6/30,2020/9/30,-56.8995,34.0398,0.0154
002389.SZ,2019/9/30,2019/12/31,1.8371,21.6353,0.0121
002389.SZ,2019/12/31,2020/3/31,1.144,73.2949,0.0383
002389.SZ,2020/3/31,2020/6/30,101.3759,35.5931,0.0192
002389.SZ,2020/6/30,2020/9/30,499.8109,75.0487,0.0447
002390.SZ,2019/9/30,2019/12/31,-25.6271,24.5788,0.0152
002390.SZ,2019/12/31,2020/3/31,-38.8571,51.4818,0.0292
002390.SZ,2020/3/31,2020/6/30,-14.8972,29.2756,0.0169
002390.SZ,2020/6/30,2020/9/30,360.2375,53.4265,0.0324
002396.SZ,2019/9/30,2019/12/31,69.8963,38.7892,0.0221
002396.SZ,2019/12/31,2020/3/31,16.5112,67.4343,0.0341
002396.SZ,2020/3/31,2020/6/30,-21.9928,41.455,0.0205
002396.SZ,2020/6/30,2020/9/30,-68.6422,39.1229,0.0161
002398.SZ,2019/9/30,2019/12/31,42.7194,25.3743,0.0139
002398.SZ,2019/12/31,2020/3/31,419.1873,62.0146,0.0325
002398.SZ,2020/3/31,2020/6/30,217.0091,63.3981,0.0379
002398.SZ,2020/6/30,2020/9/30,-21.5881,54.9352,0.0282
002399.SZ,2019/9/30,2019/12/31,-20.7758,47.2458,0.0286
002399.SZ,2019/12/31,2020/3/31,33.5633,58.4521,0.0277
002399.SZ,2020/3/31,2020/6/30,116.6269,41.6623,0.0241
002399.SZ,2020/6/30,2020/9/30,-25.934,46.1876,0.0248
002402.SZ,2019/9/30,2019/12/31,6.1509,41.6878,0.0243
002402.SZ,2019/12/31,2020/3/31,-21.7079,79.6007,0.0363
002402.SZ,2020/3/31,2020/6/30,215.9086,43.008,0.0216
002402.SZ,2020/6/30,2020/9/30,4.0585,51.1845,0.0264
002404.SZ,2019/9/30,2019/12/31,34.5635,42.9364,0.0264
002404.SZ,2019/12/31,2020/3/31,-50.2823,51.3095,0.0206
002404.SZ,2020/3/31,2020/6/30,159.0628,32.7378,0.0199
002404.SZ,2020/6/30,2020/9/30,-22.2167,33.1532,0.0167
002405.SZ,2019/9/30,2019/12/31,-15.3638,46.2916,0.0267
002405.SZ,2019/12/31,2020/3/31,-41.9971,70.9421,0.0381
002405.SZ,2020/3/31,2020/6/30,84.2727,33.7032,0.0188
002405.SZ,2020/6/30,2020/9/30,-33.8666,43.8904,0.0222
002407.SZ,2019/9/30,2019/12/31,1.5527,31.1376,0.0174
002407.SZ,2019/12/31,2020/3/31,-52.6059,61.7093,0.0301
002407.SZ,2020/3/31,2020/6/30,-1.1678,26.9436,0.0145
002407.SZ,2020/6/30,2020/9/30,113.6837,51.7612,0.0287
002409.SZ,2019/9/30,2019/12/31,49.1547,43.2908,0.0250
002409.SZ,2019/12/31,2020/3/31,197.7637,78.335,0.0445
002409.SZ,2020/3/31,2020/6/30,954.1593,67.3952,0.0407
002409.SZ,2020/6/30,2020/9/30,47.8585,61.899,0.0306
002410.SZ,2019/9/30,2019/12/31,-18.7901,35.0574,0.0210
002410.SZ,2019/12/31,2020/3/31,185.5696,52.2443,0.0291
002410.SZ,2020/3/31,2020/6/30,801.1647,41.5644,0.0243
002410.SZ,2020/6/30,2020/9/30,25.1039,44.2396,0.0262
002414.SZ,2019/9/30,2019/12/31,-38.597,30.6638,0.0184
002414.SZ,2019/12/31,2020/3/31,780.2104,75.4531,0.0473
002414.SZ,2020/3/31,2020/6/30,420.05,44.8869,0.0248
002414.SZ,2020/6/30,2020/9/30,129.8107,57.5273,0.0317
002415.SZ,2019/9/30,2019/12/31,-5.3557,25.3734,0.0142
002415.SZ,2019/12/31,2020/3/31,-48.164,45.8484,0.0171
002415.SZ,2020/3/31,2020/6/30,67.8428,32.767,0.0179
002415.SZ,2020/6/30,2020/9/30,162.6571,42.6553,0.0228
002419.SZ,2019/9/30,2019/12/31,-31.7899,22.9753,0.0143
002419.SZ,2019/12/31,2020/3/31,-50.4036,37.2279,0.0191
002419.SZ,2020/3/31,2020/6/30,66.4231,30.2312,0.0189
002419.SZ,2020/6/30,2020/9/30,-18.9268,38.9449,0.0219
002421.SZ,2019/9/30,2019/12/31,0,33.4158,0.0173
002421.SZ,2019/12/31,2020/3/31,-24.2219,53.9389,0.0276
002421.SZ,2020/3/31,2020/6/30,44.2807,52.694,0.0298
002421.SZ,2020/6/30,2020/9/30,15.413,37.5059,0.0187
002422.SZ,2019/9/30,2019/12/31,-36.5946,26.0597,0.0149
002422.SZ,2019/12/31,2020/3/31,-38.6655,34.94,0.0184
002422.SZ,2020/3/31,2020/6/30,11.1935,30.8532,0.0174
002422.SZ,2020/6/30,2020/9/30,30.4999,42.4223,0.0234
002425.SZ,2019/9/30,2019/12/31,-14.5558,31.5946,0.0181
002425.SZ,2019/12/31,2020/3/31,-40.7967,54.3467,0.0247
002425.SZ,2020/3/31,2020/6/30,21012.24,66.2211,0.0412
002425.SZ,2020/6/30,2020/9/30,-86.2661,77.815,0.0394
002428.SZ,2019/9/30,2019/12/31,22.0309,41.5837,0.0251
002428.SZ,2019/12/31,2020/3/31,-2.3801,80.5388,0.0440
002428.SZ,2020/3/31,2020/6/30,198.267,43.5239,0.0246
002428.SZ,2020/6/30,2020/9/30,36.0945,67.6131,0.0352
002429.SZ,2019/9/30,2019/12/31,140.2872,32.1803,0.0183
002429.SZ,2019/12/31,2020/3/31,112.5553,80.7208,0.0408
002429.SZ,2020/3/31,2020/6/30,104.3093,47.3898,0.0254
002429.SZ,2020/6/30,2020/9/30,143.2445,65.22,0.0332
002430.SZ,2019/9/30,2019/12/31,20.1864,32.4766,0.0193
002430.SZ,2019/12/31,2020/3/31,-34.1354,56.5066,0.0299
002430.SZ,2020/3/31,2020/6/30,135.6191,30.2076,0.0158
002430.SZ,2020/6/30,2020/9/30,507.6609,57.3861,0.0332
002436.SZ,2019/9/30,2019/12/31,7.2459,50.4093,0.0298
002436.SZ,2019/12/31,2020/3/31,203.4834,87.8231,0.0463
002436.SZ,2020/3/31,2020/6/30,93.462,49.7329,0.0247
002436.SZ,2020/6/30,2020/9/30,-38.0442,47.9854,0.0216
002438.SZ,2019/9/30,2019/12/31,40.939,33.0155,0.0191
002438.SZ,2019/12/31,2020/3/31,-37.3096,44.7912,0.0190
002438.SZ,2020/3/31,2020/6/30,54.4074,25.9185,0.0154
002438.SZ,2020/6/30,2020/9/30,322.2063,53.2413,0.0304
002439.SZ,2019/9/30,2019/12/31,16.8438,29.7341,0.0175
002439.SZ,2019/12/31,2020/3/31,37.6901,52.1698,0.0219
002439.SZ,2020/3/31,2020/6/30,67.329,31.7122,0.0153
002439.SZ,2020/6/30,2020/9/30,-47.744,36.2007,0.0176
002440.SZ,2019/9/30,2019/12/31,-17.5769,26.0742,0.0147
002440.SZ,2019/12/31,2020/3/31,-47.1663,42.1632,0.0139
002440.SZ,2020/3/31,2020/6/30,-6.1059,22.1351,0.0102
002440.SZ,2020/6/30,2020/9/30,20.2877,32.1407,0.0151
002443.SZ,2019/9/30,2019/12/31,-2.9449,22.8558,0.0129
002443.SZ,2019/12/31,2020/3/31,-44.7954,39.7236,0.0142
002443.SZ,2020/3/31,2020/6/30,127.6305,20.825,0.0117
002443.SZ,2020/6/30,2020/9/30,107.6535,37.4789,0.0184
002444.SZ,2019/9/30,2019/12/31,-8.1432,27.7447,0.0110
002444.SZ,2019/12/31,2020/3/31,-42.169,56.9769,0.0281
002444.SZ,2020/3/31,2020/6/30,146.1891,42.9871,0.0250
002444.SZ,2020/6/30,2020/9/30,604.903,51.5046,0.0289
002449.SZ,2019/9/30,2019/12/31,75.8018,38.8336,0.0233
002449.SZ,2019/12/31,2020/3/31,-50.8471,60.0493,0.0262
002449.SZ,2020/3/31,2020/6/30,43.9668,44.8722,0.0227
002449.SZ,2020/6/30,2020/9/30,-12.3949,58.2381,0.0288
002452.SZ,2019/9/30,2019/12/31,76.8069,38.0759,0.0218
002452.SZ,2019/12/31,2020/3/31,116.8473,67.0814,0.0374
002452.SZ,2020/3/31,2020/6/30,67.2168,47.2355,0.0268
002452.SZ,2020/6/30,2020/9/30,36.4305,40.9932,0.0208
002456.SZ,2019/9/30,2019/12/31,124.8594,54.8899,0.0321
002456.SZ,2019/12/31,2020/3/31,-43.3861,71.6349,0.0348
002456.SZ,2020/3/31,2020/6/30,235.8634,51.5668,0.0261
002456.SZ,2020/6/30,2020/9/30,-48.1346,54.9719,0.0268
002457.SZ,2019/9/30,2019/12/31,5.661,20.9048,0.0083
002457.SZ,2019/12/31,2020/3/31,1.0544,43.4933,0.0180
002457.SZ,2020/3/31,2020/6/30,-21.8946,28.238,0.0171
002457.SZ,2020/6/30,2020/9/30,17.3046,76.9943,0.0432
002458.SZ,2019/9/30,2019/12/31,170.5046,59.9596,0.0372
002458.SZ,2019/12/31,2020/3/31,117.6214,72.1342,0.0370
002458.SZ,2020/3/31,2020/6/30,-43.4668,37.3414,0.0227
002458.SZ,2020/6/30,2020/9/30,-54.6042,36.9025,0.0189
002459.SZ,2019/9/30,2019/12/31,-18.728,30.4128,0.0191
002459.SZ,2019/12/31,2020/3/31,73.4144,66.5427,0.0355
002459.SZ,2020/3/31,2020/6/30,354.2571,45.3598,0.0257
002459.SZ,2020/6/30,2020/9/30,984.1779,68.6165,0.0411
002460.SZ,2019/9/30,2019/12/31,437.6843,39.971,0.0235
002460.SZ,2019/12/31,2020/3/31,98.1784,78.6228,0.0380
002460.SZ,2020/3/31,2020/6/30,283.4493,48.4188,0.0259
002460.SZ,2020/6/30,2020/9/30,6.8806,56.9942,0.0291
002461.SZ,2019/9/30,2019/12/31,19.6002,34.7353,0.0219
002461.SZ,2019/12/31,2020/3/31,-5.8819,44.3104,0.0187
002461.SZ,2020/3/31,2020/6/30,421.5793,51.305,0.0318
002461.SZ,2020/6/30,2020/9/30,15.69,48.8853,0.0287
002462.SZ,2019/9/30,2019/12/31,19.713,26.0825,0.0148
002462.SZ,2019/12/31,2020/3/31,-19.3637,34.7432,0.0122
002462.SZ,2020/3/31,2020/6/30,-27.4989,21.7365,0.0130
002462.SZ,2020/6/30,2020/9/30,26.6566,31.9377,0.0156
002463.SZ,2019/9/30,2019/12/31,-42.3436,44.176,0.0231
002463.SZ,2019/12/31,2020/3/31,31.4516,69.4818,0.0356
002463.SZ,2020/3/31,2020/6/30,27.4629,36.0579,0.0184
002463.SZ,2020/6/30,2020/9/30,-62.9592,38.6536,0.0200
002465.SZ,2019/9/30,2019/12/31,41.8836,22.6697,0.0135
002465.SZ,2019/12/31,2020/3/31,15.6277,57.4479,0.0260
002465.SZ,2020/3/31,2020/6/30,84.1122,33.2315,0.0200
002465.SZ,2020/6/30,2020/9/30,-31.7257,39.478,0.0190
002466.SZ,2019/9/30,2019/12/31,205.1721,46.01,0.0277
002466.SZ,2019/12/31,2020/3/31,-83.9209,78.7259,0.0405
002466.SZ,2020/3/31,2020/6/30,150.5362,74.324,0.0442
002466.SZ,2020/6/30,2020/9/30,-43.9809,60.6098,0.0361
002475.SZ,2019/9/30,2019/12/31,195.4737,40.512,0.0236
002475.SZ,2019/12/31,2020/3/31,40.9634,67.6469,0.0328
002475.SZ,2020/3/31,2020/6/30,935.3739,47.8516,0.0256
002475.SZ,2020/6/30,2020/9/30,91.0569,49.2298,0.0258
002479.SZ,2019/9/30,2019/12/31,-20.0494,32.7524,0.0200
002479.SZ,2019/12/31,2020/3/31,-53.4723,42.9277,0.0204
002479.SZ,2020/3/31,2020/6/30,21.6966,27.2864,0.0148
002479.SZ,2020/6/30,2020/9/30,66.826,37.7009,0.0220
002480.SZ,2019/9/30,2019/12/31,-32.1599,21.6188,0.0116
002480.SZ,2019/12/31,2020/3/31,68.1189,70.0492,0.0373
002480.SZ,2020/3/31,2020/6/30,177.2353,73.1317,0.0465
002480.SZ,2020/6/30,2020/9/30,-28.8061,43.3567,0.0219
002481.SZ,2019/9/30,2019/12/31,14.9702,36.0217,0.0228
002481.SZ,2019/12/31,2020/3/31,331.108,82.537,0.0441
002481.SZ,2020/3/31,2020/6/30,875.0392,68.4132,0.0411
002481.SZ,2020/6/30,2020/9/30,-34.4952,51.6731,0.0274
002483.SZ,2019/9/30,2019/12/31,17.9394,24.1774,0.0136
002483.SZ,2019/12/31,2020/3/31,74.5383,93.4401,0.0514
002483.SZ,2020/3/31,2020/6/30,-22.2377,32.3301,0.0185
002483.SZ,2020/6/30,2020/9/30,169.1286,43.816,0.0254
002484.SZ,2019/9/30,2019/12/31,74.3868,32.8564,0.0184
002484.SZ,2019/12/31,2020/3/31,-4.2054,66.0862,0.0346
002484.SZ,2020/3/31,2020/6/30,80.7009,36.3042,0.0183
002484.SZ,2020/6/30,2020/9/30,33.9143,40.3914,0.0180
002487.SZ,2019/9/30,2019/12/31,20.8886,52.5365,0.0321
002487.SZ,2019/12/31,2020/3/31,-40.0441,45.3274,0.0168
002487.SZ,2020/3/31,2020/6/30,248.4691,38.9305,0.0222
002487.SZ,2020/6/30,2020/9/30,424.3293,60.251,0.0334
002493.SZ,2019/9/30,2019/12/31,73.986,15.2305,0.0095
002493.SZ,2019/12/31,2020/3/31,-38.898,33.9376,0.0165
002493.SZ,2020/3/31,2020/6/30,101.8758,25.3354,0.0155
002493.SZ,2020/6/30,2020/9/30,418.3793,46.1462,0.0232
002497.SZ,2019/9/30,2019/12/31,148.4732,32.5543,0.0183
002497.SZ,2019/12/31,2020/3/31,-10.1997,79.8985,0.0403
002497.SZ,2020/3/31,2020/6/30,230.0795,54.7554,0.0310
002497.SZ,2020/6/30,2020/9/30,17.9291,49.4644,0.0259
002500.SZ,2019/9/30,2019/12/31,10.9002,22.2234,0.0077
002500.SZ,2019/12/31,2020/3/31,-50.8215,40.7426,0.0127
002500.SZ,2020/3/31,2020/6/30,-4.6616,22.2557,0.0104
002500.SZ,2020/6/30,2020/9/30,125.9325,48.9662,0.0181
002507.SZ,2019/9/30,2019/12/31,110.6728,23.4461,0.0148
002507.SZ,2019/12/31,2020/3/31,108.791,48.7526,0.0246
002507.SZ,2020/3/31,2020/6/30,126.0612,40.8686,0.0247
002507.SZ,2020/6/30,2020/9/30,205.4159,45.0951,0.0266
002508.SZ,2019/9/30,2019/12/31,163.4345,30.827,0.0182
002508.SZ,2019/12/31,2020/3/31,-53.6557,48.6824,0.0183
002508.SZ,2020/3/31,2020/6/30,57.7944,37.6479,0.0226
002508.SZ,2020/6/30,2020/9/30,28.5834,46.1043,0.0227
002511.SZ,2019/9/30,2019/12/31,9.0816,33.1756,0.0200
002511.SZ,2019/12/31,2020/3/31,263.4314,44.6339,0.0228
002511.SZ,2020/3/31,2020/6/30,265.0537,34.1398,0.0217
002511.SZ,2020/6/30,2020/9/30,1.9379,48.6132,0.0278
002530.SZ,2019/9/30,2019/12/31,129.092,54.6585,0.0342
002530.SZ,2019/12/31,2020/3/31,-55.0576,73.5639,0.0355
002530.SZ,2020/3/31,2020/6/30,137.0426,62.709,0.0309
002530.SZ,2020/6/30,2020/9/30,-59.8854,47.288,0.0213
002531.SZ,2019/9/30,2019/12/31,-39.1983,27.4377,0.0153
002531.SZ,2019/12/31,2020/3/31,-55.0214,43.4548,0.0172
002531.SZ,2020/3/31,2020/6/30,94.1091,23.5725,0.0128
002531.SZ,2020/6/30,2020/9/30,165.1701,48.0505,0.0256
002532.SZ,2019/9/30,2019/12/31,-5.1757,17.5062,0.0095
002532.SZ,2019/12/31,2020/3/31,2.8896,43.1949,0.0200
002532.SZ,2020/3/31,2020/6/30,246.4546,49.8496,0.0304
002532.SZ,2020/6/30,2020/9/30,-42.7875,56.1724,0.0300
002538.SZ,2019/9/30,2019/12/31,-14.5998,15.2127,0.0069
002538.SZ,2019/12/31,2020/3/31,31.1549,45.5175,0.0214
002538.SZ,2020/3/31,2020/6/30,8.4476,36.2533,0.0210
002538.SZ,2020/6/30,2020/9/30,98.9903,42.7794,0.0235
002540.SZ,2019/9/30,2019/12/31,23.8385,29.5184,0.0182
002540.SZ,2019/12/31,2020/3/31,-3.8827,65.2655,0.0356
002540.SZ,2020/3/31,2020/6/30,10.1951,24.1791,0.0118
002540.SZ,2020/6/30,2020/9/30,49.8482,35.9121,0.0172
002541.SZ,2019/9/30,2019/12/31,217.7843,27.2813,0.0171
002541.SZ,2019/12/31,2020/3/31,326.1227,67.2258,0.0315
002541.SZ,2020/3/31,2020/6/30,1415.72,59.8253,0.0350
002541.SZ,2020/6/30,2020/9/30,398.6431,78.3695,0.0460
002544.SZ,2019/9/30,2019/12/31,27.6452,31.7297,0.0164
002544.SZ,2019/12/31,2020/3/31,14.3665,68.9381,0.0319
002544.SZ,2020/3/31,2020/6/30,-35.1425,36.312,0.0186
002544.SZ,2020/6/30,2020/9/30,79.2217,43.97,0.0205
002548.SZ,2019/9/30,2019/12/31,-46.1503,34.0009,0.0209
002548.SZ,2019/12/31,2020/3/31,98.2747,66.2479,0.0330
002548.SZ,2020/3/31,2020/6/30,39.0372,42.0505,0.0262
002548.SZ,2020/6/30,2020/9/30,31.4093,54.1679,0.0312
002549.SZ,2019/9/30,2019/12/31,-23.4172,35.84,0.0206
002549.SZ,2019/12/31,2020/3/31,4.2206,61.5979,0.0321
002549.SZ,2020/3/31,2020/6/30,190.2678,37.4471,0.0230
002549.SZ,2020/6/30,2020/9/30,-28.1955,50.9453,0.0279
002555.SZ,2019/9/30,2019/12/31,395.2566,50.0895,0.0319
002555.SZ,2019/12/31,2020/3/31,129.337,63.7756,0.0365
002555.SZ,2020/3/31,2020/6/30,393.4374,44.291,0.0251
002555.SZ,2020/6/30,2020/9/30,-30.6086,46.1581,0.0258
002557.SZ,2019/9/30,2019/12/31,255.6177,37.464,0.0238
002557.SZ,2019/12/31,2020/3/31,260.5277,57.3574,0.0272
002557.SZ,2020/3/31,2020/6/30,189.2766,48.3884,0.0306
002557.SZ,2020/6/30,2020/9/30,30.9183,48.6242,0.0285
002563.SZ,2019/9/30,2019/12/31,-53.1198,37.1712,0.0236
002563.SZ,2019/12/31,2020/3/31,-73.9473,41.5238,0.0151
002563.SZ,2020/3/31,2020/6/30,32.6574,36.5025,0.0219
002563.SZ,2020/6/30,2020/9/30,64.2567,49.9095,0.0295
002567.SZ,2019/9/30,2019/12/31,-20.3459,46.2691,0.0284
002567.SZ,2019/12/31,2020/3/31,-11.9207,61.7044,0.0287
